CÓDIGO;DIGITAR
72665;5
59002;11
29569;2
256343;13
22121;4
36582;5
47840;2
19051;4
152738;3
331;16
80461;2
6722;3
10798;2
10792;2
10681;6
78741;2
111559;2
156477;3
39171;22
69598;4
20524;3
39827;3
20683;3
22595;2
9870;6
12667;2
24821;2
14887;5
58962;3
111320;1
149854;7
27646;3
147091;1
2246;2
40800;2
74811;2
22798;3
308859;1
15074;2
26464;1
1933;3
240775;3
111216;2
67203;1
26385;1
79076;2
4993;1
67371;1
18988;7
111732;9
250581;2
117251;3
61508;1
11916;1
73688;1
66973;3
46455;2
92884;10
75541;9
74595;3
43537;1
9801;1
58517;77
149668;9
40803;1
85395;3
152527;1
57857;1
4435;3
42119;3
26165;2
11681;3
148430;2
14746;11
31644;2
117312;1
69538;2
337037;1
70875;4
934;3
152705;2
37678;5
66136;2
45397;5
514169;4
48150;11
401433;7
53972;28
66871;2
42010;2
70030;1
43669;1
23031;5
196461;1
17251;3
78573;3
21981;3
42658;7
50302;4
26862;3
110012;2
294754;2
110644;3
26603;2
59464;45
79352;4
158518;3
302172;2
118000;2
51556;3
44811;6
40111;7
92990;4
847;1
1200;2
110183;1
51994;2
661601;6
44660;11
51419;4
64323;10
333928;31
110131;5
46558;11
138685;2
38053;6
14688;1
103;19
27418;1
41133;5
21464;9
77691;1
19820;3
89319;9
150896;11
77358;7
336416;3
77825;198
31585;4
21352;8
74442;4
78688;2
150264;1
49770;3
55977;2
33497;4
45121;3
5549;3
35083;2
15077;10
566922;13
79534;1
62372;8
12217;1
13696;7
31735;1
38751;1
10756;5
38850;26
36276;2
20707;6
40074;3
64789;2
65789;3
17486;4
29567;1
25825;2
66782;3
150833;4
5355;3
19397;2
66087;18
18605;15
34097;2
6506;2
47686;41
177631;2
595959;1
21432;1
19857;1
8436;4
56221;1
